kode_klasifikasi;jenis_klasifikasi;jenis_arsip;waktu_aktif_num;waktu_aktif_ket;waktu_inaktif_num;waktu_inaktif_ket;nasib_akhir;nasib_akhir_ket
PR 01.01;Fasilitatif ;"Rencana Strategis : Naskah-naskah yang berkaitan dengan Rencana Strategis (Renstra),  dimulai  dari  pengumpulan  data,  pengolahan
sampai dengan penetapan
";2;;3;;Permanen;
PR 01.02;Fasilitatif ;"Trilateral Meeting : Naskah-naskah yang berkaitan dengan kegiatan TrilateralMeeting
";2;;3;;Musnah;
PR 01.03;Fasilitatif ;Rencana Kerja : Naskah-naskah yang berkaitan dengan rencana kerja;2;;3;;Permanen ;
PR 01.04;Fasilitatif ;"Rencana Kerja dan Anggaran : Naskah-naskah yang berkaitan dengan kegiatan penyusunan Rencana Kerja dan Anggaran Kementerian/Lembaga (RKA K/L), yang di dalamnya berisi
pagu indikatif dan pagu definitif
";2;;3;;Permanen;
PR 02.01;Fasilitatif ;"Unit Utama : Naskah-naskah yang berkaitan dengan evaluasi program
dan kinerja pada kementerian dan unit utama
";1;;4;;Permanen;
PR 02.02;Fasilitatif ;"Kantor Wilayah : Naskah-naskah yang berkaitan dengan evaluasi program
dan kinerja pada kantor wilayah
";1;;4;;Permanen;
PR 03;Fasilitatif ;"Laporan Akuntabilitas Kinerja Instansi Pemerintah
(LAKIP)
";2;;4;;Permanen;
PR 04.01;Fasilitatif ;Laporan Bulanan : Naskah-naskah yang berkaitan dengan laporan Bulanan;1;;1;;Musnah;
PR 04.02;Fasilitatif ;Laporan Triwulan : Naskah-naskah yang berkaitan dengan laporan Triwulan;1;;1;;Musnah;
PR 04.03;Fasilitatif ;Laporan Semester : Naskah-naskah yang berkaitan dengan laporan semester;1;;2;;Musnah;
PR 04.04;Fasilitatif ;Laporan Tahunan : Naskah-naskah yang berkaitan dengan laporan Tahunan;2;;3;;Permanen;
PR 04.05;Fasilitatif ;Insidentil : Naskah-naskah yang berkaitan dengan laporan insidentil;2;;4;;Musnah;
PR 05.01;Fasilitatif ;"Dengan DPR  : Naskah-naskah yang berkaitan dengan penyusunan bahan
rapat kerja dengan DPR
";1;;1;;Permanen;
PR 05.02;Fasilitatif ;"Tingkat Kementerian : Naskah-naskah yang berkaitan dengan penyusunan bahan
rapat kerja tingkat kementerian
";1;;1;;Musnah;
PR 05.03;Fasilitatif ;"Tingkat Unit Utama (RAKERNIS) : Naskah-naskah yang berkaitan dengan penyusunan bahan
rapat kerja tingkat unit utama
";1;;1;;Musnah;
PR 05.04;Fasilitatif ;"Tingkat Kantor Wilayah : Naskah-naskah yang berkaitan dengan penyusunan bahan
rapat kerja tingkat kantor wilayah
";1;;1;;Musnah;
PR 05.05;Fasilitatif ;"Rapat Pimpinan dan Rapat Staf : Naskah-naskah yang berkaitan dengan penyusunan bahan
rapat pimpinan dan rapat staf
";1;;1;;Musnah;
PR 06.01;Fasilitatif ;"Sidang Kabinet Terbatas : Naskah-naskah yang berkaitan dengan penyusunan bahan
sidang kabinet terbatas
";1;;1;;Musnah;
PR 06.02;Fasilitatif ;"Sidang Kabinet Paripurna : Naskah-naskah yang berkaitan dengan penyusunan bahan
sidang kabinet paripurna
";1;;1;;Musnah;
OT 01.01;Fasilitatif ;Organisasi dan Tata Kerja Kementerian : Naskah-naskah yang berkaitan dengan organisasi dan tata kerja kementerian;;Selama Berlaku ;5;;Permanen;
OT 01.02;Fasilitatif ;"Organisasi dan Tata Kerja Kantor Wilayah : Naskah-naskah yang berkaitan dengan organisasi dan tata
kerja kantor wilayah
";;Selama Berlaku;5;;Permanen;
OT 01.03;Fasilitatif ;"Organisasi dan Tata Kerja UPT : Naskah-naskah yang berkaitan dengan organisasi dan tata
kerja unit pelaksana teknis
";;Selama Berlaku;5;;Permanen;
OT 01.04;Fasilitatif ;"Evaluasi Kelembagaan : Naskah-naskah yang berkaitan dengan evaluasi
kelembagaan
";;Selama Berlaku;5;;Permanen;
OT 02.01;Fasilitatif ;"Standarisasi Sarana Kerja : Naskah-naskah yang berkaitan dengan standarisasi
sarana kerja
";;Selama Berlaku;5;;Permanen;
